Question,Products_name
Pizza Burger Medium,"[""Бургер-пицца Medium""]"
особенную гавайскую и карри,"[""Гавайская с альфредо Medium"",""Цыпленок карри Medium""]"
"здоровый обед с чем-нибудь куринным и салат, без пиццы и без пасты","[""Додстер"",""Дэнвич ветчина и сыр"",""Дэнвич чоризо барбекю"",""Сырный Стартер""]"
"Фирменные пиццы на четырех человек, одна из них с разным числом ингредиентов","[""Додо Микс Large"",""Пицца от шефа Large""]"
Паста Карбонара,"[""Паста Карбонара""]"
three big tasty pizzas ,"[""Пицца из половинок Large"",""Пицца из половинок Large"",""Пицца из половинок Large""]"
3 пиццы от 1199 ₽,"[""Пепперони Фреш Small"",""Сырная Small"",""Чоризо фреш Small""]"
Большая шаверма и чай,"[""Додстер"",""Rich Tea Черный с лимоном 0.5""]"
Dobry cola without sugar Small,"[""Добрый Кола без сахара Small""]"
есть что-то молочное?,"[""Коктейль Клубничный 0.3"",""Сырники с малиновым вареньем""]"
комбо из трех пицц и напиток,"[""Ветчина и грибы Medium"",""Добрый Кола Big"",""Пепперони Фреш Medium"",""Сырная Medium""]"
вкусный сладкий десерт тропический,"[""Слоеные палочки с соусом манго и ананасами""]"
4 Закуски,"[""Грибной Стартер"",""Додстер"",""Грибной Стартер"",""Додстер""]"
Мортаделла с трюфельным соусом Small,"[""Мортаделла с трюфельным соусом Small""]"
Соус Цезарь,"[""Соус Цезарь""]"
Томатный суп с гренками,"[""Томатный суп с гренками""]"
"что-нибудь с петчиной, но не пицца и что-нибудь с Песто, но не пицца","[""Дэнвич ветчина и сыр"",""Паста Песто""]"
Пиццу ранч на двоих людей,"[""Цыпленок ранч Large""]"
завтрак с сырниками и кофе,"[""Кофе Латте 0.4"",""Малиновое варенье"",""Сырники с малиновым вареньем""]"
Мед,"[""Мед""]"
у нас отличное настроение сформируй интересный заказ из пицц,"[""Барбекю соус Додо"",""Пепперони Фреш Medium"",""Сырная Medium"",""Сырный соус Додо"",""Чоризо фреш Medium""]"
Ха... хочу пахавать,"[""Бруслетики"",""Додстер"",""Морс Клюква 0.45""]"
Нас двое голодных,"[""Домашняя Medium"",""Чоризо фреш Small""]"
Кофе Американо 0.3 не самый большой,"[""Кофе Американо 0.3""]"
сырнички большие на утро,"[""Сырники без топпинга 130.0""]"
Диабло Large,"[""Диабло Large""]"
"большая картошка, американо и соус любой","[""Кофе Американо"",""Картофель из печи с сырным соусом Big"",""Сырный соус Додо""]"
Додо Книга (несъедобное),"[""Додо Книга ""]"
Кус Мясо и овощи Римская (4 кусочка) ( 90 минут ),"[""Кус Мясо и овощи Римская (4 кусочка) ( 90 минут )""]"
Кус Мясная BBQ (фудкорт),"[""Кус Мясная BBQ (фудкорт)""]"
одна пицца с ветчиной маленькая и пепперони большая,"[""Пепперони Фреш Large"",""Ветчина и сыр Small""]"
"2 пиццы, но мой друг не есть мясо, он вегетерианец","[""Бургер-пицца Medium"",""Четыре сезона  Medium""]"
десерты на сумму до 1000 рублей,"[""Бруслетики"",""Чизкейк Шоколадный"",""Маффин Три шоколада""]"
5 пицц без мяса,"[""Овощи и грибы Small""]"
Что -нибудь легкое на обед,"[""Салат Цезарь со смесью сыров"",""Додстер""]"
demonic little spicy pizza,"[""Диабло Small""]"
хочу мясную пасту и ничего больше,"[""Паста Мясная""]"
"нас много и у нас вечеринка, есть никита, стас, пьеха и дюша метелкин, мы все веганы но любим сыр, собери нам 4-5 пицц , пару закусок, напитки на все х и один десерт","[""Бруслетики"",""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Двойной цыпленок Medium"",""Добрый Кола Big"",""Маргарита Medium"",""Пепперони Medium"",""Сырная Medium"",""Четыре сезона Medium"",""Чизкейк Нью-Йорк (новая упаковка)""]"
Кус Бекон BBQ Римская,"[""Кус Бекон BBQ Римская""]"
Banana cocktail 0.3,"[""Банановый коктейль 0.3""]"
Пицца с мясом и кофе,"[""Кофе Латте 0.4"",""Мясной Микс с пастрами из говядины Large""]"
мороженое со вкусом банана в стаканчике,"[""Мороженое в стаканчике с банановым топпингом""]"
add tasty sauces,"[""Барбекю соус Додо"",""Сырный соус Додо""]"
Песто Large,"[""Песто Large""]"
Хочу плотный завтрак на двоих или острую мясную пиццу без лука,"[""Двойной цыпленок Medium"",""Острый Додстер""]"
Додо Микс (без свинины) Large для двух или трех детей,"[""Додо Микс (без свинины) Large""]"
Diablo Large,"[""Диабло Large""]"
Стартер с ветчиной,"[""Стартер с ветчиной""]"
пиццу с протеином,"[""Двойной цыпленок Medium""]"
14 medium pizza margherita,"[""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium""]"
вкусный напиток с маленькой пиццей,"[""Добрый Апельсин 0.5"",""Песто Small""]"
Четыре сезона  Small,"[""Четыре сезона  Small""]"
Римская Четыре сыра (Тула) Small,"[""Римская Четыре сыра (Тула) Small""]"
pineapple cranberry sticks,"[""Слоеные палочки с ананасами и брусникой 8.0""]"
3 pizzas from 849 ₽,"[""Пепперони Фреш Small"",""Сырная Small"",""Чоризо фреш Small""]"
Мясную и сок,"[""Мясной Микс с пастрами из говядины Medium"",""Сок Rich Вишня""]"
для дочки и для сына ,"[""Додо Микс Small"",""Додстер Карри""]"
3 pizzas,"[""Пепперони Фреш Medium"",""Сырная Medium"",""Чоризо фреш Medium""]"
dodster and pizza with salami,"[""Додстер"",""Пепперони Фреш Medium""]"
Омлет с ветчиной и грибами в пите,"[""Омлет с ветчиной и грибами в пите""]"
острые и неострые додстеры,"[""Грибной Стартер"",""Додстер"",""Додстер Карри"",""Острый Додстер""]"
3 pizzas 25 cm from 929 ₽,"[""Ветчина и грибы Small"",""Пепперони Фреш Small"",""Сырная Small""]"
10 pizzas,"[""Аррива! Medium"",""Бургер-пицца Medium"",""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Гавайская с альфредо Medium"",""Двойной цыпленок Medium"",""Маргарита Medium"",""Овощи и грибы Medium"",""Пепперони Medium"",""Четыре сезона  Medium""]"
специальное предложение для любителей сэкономить,"[""Сырная Medium"",""Чоризо фреш Medium"",""Пепперони Фреш Medium""]"
10 dodsters,"[""Додстер"",""Додстер Карри"",""Додстер Песто"",""Додстер с ветчиной "",""Острый Додстер"",""Супермясной Додстер"",""Додстер"",""Додстер Карри"",""Додстер Песто"",""Додстер с ветчиной ""]"
две сырных,"[""Сырная Medium""]"
3 пиццы,"[""Ветчина и грибы Medium"",""Пепперони Фреш Medium"",""Сырная Medium""]"
"у меня аллергия на пепперони, нужна пицца без нее и два сока","[""Сырный цыпленок Medium"",""Сок Rich Яблоко""]"
Пиццу на 3х,"[""Бургер-пицца Medium"",""Ветчина и грибы Medium""]"
"Картофельные оладьи, 4 шт","[""Картофельные оладьи, 4 шт""]"
у нас 6 человек плотно поесть пицц и что-нибудь на десерт сладкое,"[""Бруслетики"",""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Двойной цыпленок Medium"",""Маргарита Medium"",""Четыре сезона  Medium""]"
7 pizzas,"[""Маргарита Medium"",""Пепперони Medium"",""Четыре сезона  Medium"",""Бургер-пицца Medium"",""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Двойной цыпленок Medium""]"
у меня 1900 рублей нас двое собери пицц,"[""Ветчина и грибы Medium"",""Диабло Medium"",""Пепперони Фреш Medium""]"
у меня 1800 рублей собери нам пицц поесть с курицей,"[""Двойной цыпленок Medium"",""Пепперони Фреш Medium"",""Песто Medium""]"
позавтракать и легкий перекус,"[""Додстер"",""Малиновое варенье"",""Сырники с малиновым вареньем""]"
коктейль с кокосом,"[""Кокосовый молочный коктейль (фризер) 0.3""]"
Кус Говядина песто Римская 4 шт,"[""Кус Говядина песто Римская 4 шт""]"
бруслетики и пару пицц,"[""Аррива! Medium"",""Бруслетики"",""Колбаски барбекю Medium""]"
Кофе Флэт уайт 0.2,"[""Кофе Флэт уайт 0.2""]"
3 одинаковых пиццы,"[""Ветчина и грибы Medium"",""Ветчина и грибы Medium"",""Ветчина и грибы Medium""]"
девять (9) разных пицц,"[""Ветчина и сыр Medium"",""Двойной цыпленок Medium"",""Пепперони Фреш Medium"",""Чоризо фреш Medium"",""Ветчина и грибы Medium"",""Двойная пепперони Large"",""Колбаски барбекю Medium"",""Бургер-пицца Medium"",""Цыпленок ранч Medium""]"
Омлет с песто в пите,"[""Омлет с песто в пите""]"
позавтракать без пиццы,"[""Малиновое варенье"",""Сырники с малиновым вареньем""]"
Rustic with boiled pork Medium,"[""Деревенская с бужениной Medium""]"
демонскую маленькую острую пиццу,"[""Диабло Small""]"
маленькая порция пирожных с корицей,"[""Рулетики с корицей 110.0""]"
картофель фри и закуска с курицей,"[""Картофель из печи"",""Крылья «Барбекю»""]"
Сок Rich Яблоко 0.3,"[""Сок Rich Яблоко 0.3""]"
Комбо Завтрак на двоих,"[""Стартер с ветчиной"",""Кофе Капучино 0.4"",""Омлет с пепперони в пите"",""Кофе Капучино 0.4""]"
"Додстер, картофель из печи и напиток","[""Картофель из печи"",""Додстер"",""Добрый Кола Small""]"
необычные пиццы,"[""Аррива! Medium"",""Бургер-пицца Medium""]"
Arriva! large,"[""Аррива! Large""]"
необычный чизкейк,"[""Чизкейк Банановый с шоколадным печеньем 100.0""]"
two large spicy pizzas,"[""Ветчина и сыр Large"",""Карбонара Large""]"
перекус на 600 рублей,"[""Ланчбокс с куриными кусочками"",""Салат Цезарь со смесью сыров (трекинг)"",""Сырный соус Додо""]"
Фартук «Рождаем пиццу в муке творчества»,"[""Фартук «Рождаем пиццу в муке творчества»""]"
two sweet desserts for your girlfriend,"[""Бруслетики"",""Маффин Три шоколада""]"
сок,"[""Сок Rich Яблоко"",""Сок Rich Вишня"",""Сок Rich Апельсин""]"
коктейль со вкусом клубники,"[""Коктейль Клубничный 0.3""]"
комбо из закусок перекус без пицц,"[""Грибной Стартер"",""Додстер"",""Супермясной Додстер"",""Сырный Стартер""]"
барбекю комбо,"[""Барбекю соус Додо"",""Колбаски барбекю Medium""]"
какие 5 десертов есть в меню,"[""Бруслетики"",""Чизкейк Нью-Йорк (новая упаковка)"",""Фондан"",""Маффин Три шоколада"",""Маффин Соленая карамель""]"
Домашняя разных размеров,"[""Домашняя Small"",""Домашняя Medium"",""Домашняя Large""]"
Молочный напиток и мороженое,"[""Коктейль Классический 0.3"",""Мороженое в стаканчике без топпинга""]"
Бекон BBQ Римская (кусочки) Medium,"[""Бекон BBQ Римская (кусочки) Medium""]"
2 Стартера,"[""Грибной Стартер"",""Грибной Стартер""]"
завтрак и кофе,"[""Кофе Латте 0.4"",""Малиновое варенье"",""Сырники с малиновым вареньем""]"
собери корзину без пиццы,"[""Паста Карбонара"",""Паста Мясная"",""Паста Песто""]"
как начать свой день без кофе?,"[""Сырный Стартер"",""Сырный соус Додо""]"
большую порцию пирожных с брусникой,"[""Бруслетики 270.0""]"
хочу пиццу жульен,"[""Пицца Жюльен Medium""]"
Четыре сыра Small,"[""Четыре сыра Small""]"
десерт и острую пиццу,"[""Диабло Medium"",""Чизкейк Нью-Йорк (новая упаковка)""]"
комбо из пицц сырная пикантная и закуска ,"[""Картофель из печи"",""Пепперони Фреш Small"",""Сырная Small"",""Чоризо фреш Small""]"
фруктовый коктейль с манго,"[""Манго-шейк (NEW) 0.3""]"
"Че есть с грибами, но не в пицце? А еще одну пиццу с фирменным альфредовым соусом без лука. Жена не любит лук и мясо. Поэтому стартер отдам жене. ","[""Ветчина и сыр Small"",""Грибной Стартер""]"
перекус на одного пицца с ветчиной попить закуска и соус яркий,"[""Барбекю соус Додо"",""Ветчина и сыр Small"",""Добрый Кола Big"",""Додстер""]"
Додстер,"[""Додстер""]"
Выбери мне что-нибудь с карицей к додо пицце,"[""Додо Микс Medium"",""Рулетики с корицей""]"
Ham and Cheese Large,"[""Ветчина и сыр Large""]"
Аррива! Medium,"[""Аррива! Medium""]"
"крылья с картофелем, самый популряный салат и bbq соус","[""Барбекю соус Додо"",""Ланчбокс с крыльями барбекю"",""Салат Цезарь со смесью сыров (трекинг)""]"
Малиновое варенье,"[""Малиновое варенье""]"
"мясную, соус","[""Мясная Medium"",""Чесночный соус ""]"
завтрак с десертом ,"[""Малиновое варенье"",""Сырники с малиновым вареньем"",""Чизкейк Нью-Йорк (новая упаковка)""]"
додстер и пиццу без чеснока,"[""Додстер"",""Цыпленок барбекю Small""]"
"бюджетная пицца, но не маленькая","[""Пепперони Фреш Medium""]"
Пиццу без грибов,"[""Ветчина и сыр Small""]"
Кус Ветчина и Сыр (фудкорт),"[""Кус Ветчина и Сыр (фудкорт)""]"
Dodo Book (inedible),"[""Додо Книга ""]"
Дэнвич и напиток,"[""Дэнвич чоризо барбекю"",""Добрый Кола Small""]"
Пиццы на троих человек,"[""Ветчина и грибы Medium"",""Двойная пепперони Medium""]"
премиальная пицца и десерт,"[""Додо Микс Large"",""Чизкейк Нью-Йорк (новая упаковка)""]"
Пепперони Фреш Large,"[""Пепперони Фреш Large""]"
карамельный маффин,"[""Маффин Соленая карамель 120.0""]"
5 сладких продуктов,"[""Бруслетики"",""Чизкейк Нью-Йорк (новая упаковка)"",""Слоеные палочки с соусом манго и ананасами"",""Малиновое варенье"",""Фондан""]"
10 пицц,"[""Аррива! Medium"",""Бургер-пицца Medium"",""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Гавайская с альфредо Medium"",""Двойной цыпленок Medium"",""Маргарита Medium"",""Овощи и грибы Medium"",""Пепперони Medium"",""Четыре сезона  Medium""]"
2 пиццы и напиток,"[""Добрый Кола Big"",""Ветчина и грибы Small"",""Ветчина и сыр Small""]"
"Карбонара, но не пицца","[""Додо Микс Large"",""Карбонара Large""]"
Мортаделла с трюфельным соусом Medium,"[""Мортаделла с трюфельным соусом Medium""]"
Мне чет грустно,"[""Маффин Три шоколада"",""Фондан""]"
Комбо от 659 ₽,"[""Ветчина и грибы Small"",""Додстер"",""Сырный соус Додо"",""Добрый Кола Big""]"
секси пицца и десерт,"[""Бруслетики"",""Гавайская с альфредо Large""]"
"Кофе, пиццу без мяса, додстер и десертик","[""Кофе Латте 0.4"",""Додстер"",""Овощи и грибы Small"",""Бруслетики""]"
invigorating drink latte 0.4,"[""Кофе Латте 0.4""]"
Манго-шейк (NEW) 0.3,"[""Манго-шейк (NEW) 0.3""]"
Омлет с беконом,"[""Омлет с беконом""]"
some big with mushroom for hungry person,"[""Ветчина и грибы Large""]"
Напиток и бургер,"[""Морс Клюква 0.45"",""Додстер""]"
"Children's juice ""Dobry"" Apple 0.2","[""Детский сок “Добрый” Яблоко 0.2""]"
Колбаски барбекю Small,"[""Колбаски барбекю Small""]"
Бекон BBQ Римская (4 кусочка) Small,"[""Бекон BBQ Римская (4 кусочка) Small""]"
Привет! Додстер и кофейный напиток,"[""Кофе Капучино 0.2"",""Додстер""]"
Пицца с маринованными огурчиками на трех девушек ,"[""Домашняя Large""]"
Фартук «We make pizza to open the world»,"[""Фартук «We make pizza to open the world»""]"
три пиццы и кофе,"[""Кофе Латте 0.4"",""Пепперони Фреш Small"",""Сырная Small"",""Чоризо фреш Small""]"
Кус Мясо и овощи Римская 8 шт ( 90 минут),"[""Кус Мясо и овощи Римская 8 шт ( 90 минут) ""]"
Добрый кола без сахара Small,"[""Добрый Кола без сахара Small""]"
10 одинаковых пицц,"[""Ветчина и грибы Medium""]"
Hawaiian with Alfredo Large,"[""Гавайская с альфредо Large""]"
two small spicy pizzas,"[""Ветчина и сыр Small"",""Карбонара Small""]"
"Hawaiian is a pizza with pineapples, but without onions and with signature alfredo sauce","[""Гавайская с альфредо Large""]"
"Dodster, potatoes from the oven and a drink","[""Додстер"",""Картофель из печи"",""Кофе Капучино 0.2""]"
"Собираемся смотреть футбол с другом, посоветуй что взять","[""Пепперони Фреш Medium"",""Сырная Medium"",""Чоризо фреш Medium""]"
пиццу чтобы заесть грусть,"[""Ветчина и сыр Small""]"
Комбо от 789 ₽,"[""Додстер"",""Ветчина и грибы Small"",""Барбекю соус Додо"",""Добрый Кола Big""]"
two with medium sausage,"[""Пепперони Фреш Medium"",""Пепперони Фреш Small""]"
Цитрусовый чай с имбирем Small,"[""Цитрусовый чай с имбирем Small""]"
"одну пиццу с фирменный соусом альфредом, а вторую пиццу с  томатным соусом, обе пиццы среднего размера","[""Карбонара Medium"",""Пицца от шефа Medium""]"
омлет из яиц,"[""Омлет с ветчиной и грибами"",""Омлет с песто"",""Омлет с овощами""]"
"dodster + cola, one cheesecake and a small pizza with ham and mushrooms, one cheese sauce, please","[""Ветчина и грибы Small"",""Добрый Кола Big"",""Додстер"",""Сырный соус Додо"",""Чизкейк Нью-Йорк (новая упаковка)""]"
пицца и напиток к пицце чтобы итальянцы меня ненавидели,"[""Гавайская с альфредо Small"",""Кофе Латте 0.4""]"
сладкие десерты и сырная пицца,"[""Бруслетики"",""Сырная Medium""]"
Дэнвич и напиток,"[""Дэнвич ветчина и сыр"",""Добрый Кола Small""]"
одну пиццу и десерт,"[""Аррива! Small"",""Бруслетики""]"
пепперони,"[""Пепперони Medium""]"
Можно морс и додстер,"[""Додстер"",""Морс Клюква 0.45""]"
комбо из трех маленьких пицц без грибов,"[""Ветчина и сыр Small"",""Пепперони Фреш Small"",""Сырная Small""]"
нас 7 человек нам сытно поесть пицц,"[""Ветчина и грибы Medium"",""Двойной цыпленок Medium"",""Маргарита Medium"",""Пепперони Фреш Medium"",""Сырная Medium"",""Чоризо фреш Medium""]"
"пицца с курицей, без лука и без ананасов","[""Двойной цыпленок Medium""]"
Колу,"[""Добрый Кола Big""]"
"просто сырники, одна порция","[""Сырники без топпинга 30.0""]"
2 кофе: Латте или Капучино,"[""Кофе Латте 0.3"",""Кофе Латте 0.3""]"
три напитка,"[""Rich Tea Зеленый 0.5"",""Rich Tea Зеленый с манго 0.5"",""Rich Tea Черный с лимоном 0.5""]"
10 medium pizzas,"[""Четыре сезона  Medium"",""Аррива! Medium"",""Бургер-пицца Medium"",""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Гавайская с альфредо Medium"",""Двойной цыпленок Medium"",""Маргарита Medium"",""Овощи и грибы Medium"",""Пепперони Medium""]"
два кофе со скидкой,"[""Кофе Капучино 0.3"",""Кофе Капучино 0.3""]"
"один голодный человек, хочу кофе и что-нибудь еще кроме пиццы, что посоветуете? ","[""Картофель из печи с сырным соусом Big"",""Острый Додстер"",""Сырный соус Додо""]"
сгенерируй пиццы на троих,"[""Бургер-пицца Medium"",""Пицца Жюльен Medium""]"
Грибная Римская (4 кусочка) Small,"[""Грибная Римская (4 кусочка) Small""]"
"2 очень голодных человка, которые ненавидят пиццу, но устали и пришли в додо","[""Грибной Стартер"",""Додстер"",""Додстер с ветчиной "",""Сырный Стартер""]"
Кус Грибная Римская,"[""Кус Грибная Римская""]"
Кофе Капучино 0.4,"[""Кофе Капучино 0.4""]"
стандартный коктейль,"[""Коктейль Классический (фризер) 0.3""]"
17 пицц без мяса,"[""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium""]"
Карбонара (без свинины) Large с луком и сырами чеддер,"[""Карбонара (без свинины) Large""]"
2 Dodsters to keep it cheap,"[""Додстер"",""Острый Додстер""]"
разные 4 Закуски на 2-4 человека,"[""Грибной Стартер"",""Додстер"",""Додстер с ветчиной "",""Сырный Стартер""]"
Dodo (without pork) Small,"[""Додо (без свинины) Small""]"
2 пиццы и напиток,"[""Ветчина и грибы Small"",""Ветчина и сыр Small"",""Добрый Кола Big""]"
три шоколада,"[""Маффин Три шоколада 120.0""]"
Пицца Бекон BBQ (кусочки) Large,"[""Пицца Бекон BBQ (кусочки) Large""]"
Пицца на троих,"[""Бургер-пицца Medium"",""Пицца Жюльен Medium"",""Пепперони Фреш Medium""]"
10 одинаковых пицц,"[""Ветчина и грибы Medium""]"
Куриные наггетсы Small,"[""Куриные наггетсы Small""]"
Чоризо с овощами Римская Кусочками Medium,"[""Чоризо с овощами Римская Кусочками Medium""]"
"meat pizza for me, I""m not very hungry","[""Пепперони Фреш Small""]"
Детский сок “Добрый” Мультифрукт 0.2,"[""Детский сок “Добрый” Мультифрукт 0.2""]"
коктейль со вкусом клубники,"[""Коктейль Клубничный (фризер) 0.3""]"
"три пиццы, одна гавайская, вторая с ветчиной и другая с сыром","[""Гавайская с альфредо Medium"",""Ветчина и грибы Medium"",""Сырная Medium""]"
Добрый Лайм-Лимон 0.5,"[""Добрый Лайм-Лимон 0.5""]"
Два лимонада разных,"[""Добрый Лайм-Лимон 0.5"",""Напиток Черноголовка Лимонад 0.5""]"
"""бекон"",""митболы"",""пепперони"",""моцарелла"",""томаты"",""шампиньоны"",""перец"",""лук"",""чеснок"",""томатный соус"",""Сливочная моцарелла"",""Острый халапеньо"",""Нежный цыпленок"",""Свежие томаты"",""Маринованные огурчики"",""Соус барбекю""","[""Додо Large"",""Острый Додстер""]"
Пицца 25 см и напиток,"[""Чоризо фреш Small"",""Добрый Кола Small""]"
пицца перекусть и десерт для поднятия настроения,"[""Пепперони Medium"",""Фондан""]"
Острый Додстер,"[""Острый Додстер""]"
что-то на завтрак,"[""Малиновое варенье"",""Сырники с малиновым вареньем""]"
Double Pepperoni Small,"[""Двойная пепперони Small""]"
Бургер-пицца Small,"[""Бургер-пицца Small""]"
Dodo Mix (without pork) Large for two or three children,"[""Додо Микс (без свинины) Large""]"
Паста Карбонара (без свинины),"[""Паста Карбонара (без свинины)""]"
3 pizzas and a snack for 1000 rubles,"[""Додстер"",""Пепперони Фреш Small"",""Сырная Small"",""Чоризо фреш Small""]"
сладкий популярный десерт,"[""Бруслетики""]"
choose a two course lunch,"[""Додстер"",""Паста Карбонара""]"
2 Десерта,"[""Маффин Соленая карамель"",""Маффин Соленая карамель""]"
люблю мясо и сладкое,"[""Супермясной Додстер"",""Фондан""]"
вегетарианская пицца и салат,"[""Овощи и грибы Small"",""Салат Цезарь со смесью сыров (трекинг)""]"
Барбекю соус Додо,"[""Барбекю соус Додо""]"
Сэндвич с моцареллой и томатами (тест СПБ),"[""Сэндвич с моцареллой и томатами (тест СПБ)""]"
Кус Бекон BBQ Римская (тест 90 минут),"[""Кус Бекон BBQ Римская (тест 90 минут)""]"
2 сырника и напиток,"[""Кофе Латте 0.2"",""Сырники без топпинга"",""Малиновое варенье""]"
Соберите свою пиццу Small,"[""Соберите свою пиццу Small""]"
"большушие гигинтские крупные две пиццы с красным луком, но с разным соусом. ","[""Карбонара Large"",""Пицца от шефа Large""]"
"два морса, клюква и смородина, каждый по 0.45","[""Морс Клюква 0.45"",""Морс Черная смородина 0.45""]"
Паста Трюфельная,"[""Паста Трюфельная""]"
я голодный,"[""Картофель из печи с сырным соусом Big"",""Додстер""]"
Подарочный сертификат 500 ₽ (локальный маркетинг),"[""Подарочный сертификат 500 ₽ (локальный маркетинг)""]"
Соус Ранч/Чесночный,"[""Соус Ранч/Чесночный""]"
throw in a sausage burger for five (5) people,"[""Бургер-пицца Medium"",""Колбаски барбекю Medium""]"
"пицца на двоих с разными вкусами, одна с ананасами","[""Гавайская с альфредо Medium"",""Четыре сезона  Medium""]"
суп и чай,"[""Rich Tea Черный с лимоном 0.5"",""Томатный суп с митболами""]"
Кус Чоризо с овощами Римская (4 кусочка) ( 90 минут ),"[""Кус Чоризо с овощами Римская (4 кусочка) ( 90 минут )""]"
I want pizza with cheese ,"[""Додо Large""]"
Bavarian Medium,"[""Баварская Medium""]"
акция: два кофе со скидкой,"[""Кофе Капучино 0.4"",""Кофе Капучино 0.4""]"
Баварская Small,"[""Баварская Small""]"
ten dodsters of different flavors,"[""Додстер"",""Додстер Карри"",""Додстер Песто"",""Додстер с ветчиной "",""Острый Додстер"",""Супермясной Додстер"",""Додстер"",""Додстер Карри"",""Острый Додстер"",""Супермясной Додстер""]"
у меня есть 900 рублей хочу поесть,"[""Барбекю соус Додо"",""Ветчина и грибы Small"",""Добрый Кола Big"",""Додстер"",""Супермясной Додстер""]"
какие 5 десертов есть в меню,"[""Бруслетики"",""Чизкейк Нью-Йорк (новая упаковка)"",""Фондан"",""Маффин Три шоколада"",""Маффин Соленая карамель""]"
три додстера,"[""Додстер"",""Додстер Карри"",""Острый Додстер""]"
"одна фирменная пицца, 30 сантиметров","[""Додо Medium""]"
Кус Бекон BBQ,"[""Кус Бекон BBQ""]"
Кус Овощная Римская (4 кусочка) (тест 90 минут),"[""Кус Овощная Римская (4 кусочка) (тест 90 минут)""]"
Гель-антисептик для рук Antiseptane,"[""Гель-антисептик для рук Antiseptane""]"
Ham and mushrooms Large,"[""Ветчина и грибы Large""]"
"не хочу пиццу, у меня 300 рублей мне только перекусить я один","[""Додстер"",""Кофе Карамельный Капучино 0.3""]"
"""бекон"",""митболы"",""пепперони"",""моцарелла"",""томаты"",""шампиньоны"",""перец"",""лук"",""чеснок"",""томатный соус"",""Сливочная моцарелла"",""Нежный цыпленок"",""Митболы"",""Острая чоризо"",""Соус Бургер""","[""Додо Small"",""Супермясной Додстер""]"
"две дочки любят пиццу, поменьше мяса","[""Додо Микс Small"",""Сырная Small""]"
2 pizzas,"[""Аррива! Medium"",""Колбаски барбекю Medium""]"
2 сырника и напиток,"[""Сырники без топпинга"",""Малиновое варенье"",""Кофе Латте 0.3""]"
"мне на двух человек пиццу с грибами и колбасками, не острую","[""Ветчина и грибы Medium""]"
"мужу и жене одну Карбонару, а детям одну пиццу миксик","[""Карбонара Medium"",""Пицца Миксик Small""]"
"просто кофе, любой с молоком","[""Кофе Капучино 0.4""]"
3 пиццы,"[""Ветчина и грибы Medium"",""Пепперони Фреш Medium"",""Чоризо фреш Medium""]"
big hot Tea Black 0.4,"[""Чай Черный 0.4""]"
ariva and some unusual pizza,"[""Аррива! Medium"",""Четыре сезона  Medium""]"
две без лука на 5 людей,"[""Ветчина и грибы Large"",""Мясная Large""]"
Кус Говядина песто Римская 8 шт,"[""Кус Говядина песто Римская 8 шт""]"
мне что-нибудь на завтрак на одного,"[""Кофе Латте 0.4"",""Малиновое варенье"",""Сырники с малиновым вареньем""]"
что нибудь легкое перекусить,"[""Додстер"",""Малиновое варенье"",""Сырники с малиновым вареньем""]"
"7 pizzas, two of them without meat","[""Четыре сезона  Medium"",""Бургер-пицца Medium"",""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Двойной цыпленок Medium"",""Маргарита Medium"",""Пепперони Medium""]"
coffee with nuts,"[""Кофе Ореховый латте 0.3""]"
Кус Пепперони,"[""Кус Пепперони""]"
"собери мне карзину из мясных продуктов, но не пиццы","[""Додстер"",""Супермясной Додстер"",""Сырный Стартер""]"
итальянский десерт,"[""Тирамису NEW""]"
нужно много пицц с мясом ветчиной и соусом на праздник,"[""Бургер-пицца Medium"",""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Двойной цыпленок Medium"",""Маргарита Medium"",""Пепперони Medium"",""Четыре сезона  Medium""]"
"Хочу крупную пиццу с изысканной начинкой, включающей пикантные колбаски и ароматные специи.","[""Двойная пепперони Large""]"
ланч на двоих с пиццей ,"[""Ланчбокс с куриными кусочками"",""Пицца из половинок Large"",""Сырный соус Додо""]"
кола Small,"[""Добрый Кола Small""]"
